country;;name;x;y
TCD;;Sao Filipe;16.6636;199.4209
BEN;;Bamako;226.9297;228.6973
TCD;;Nouakchott;121.0747;159.585
TCD;;Praia;34.3984;199.9004
BEN;;Bolama/Bijagos;117.2085;249.3359
TCD;;Ribeira Brava;16.9316;178.0649
NER;;Tarrafal;24.0811;195.1055
BEN;;Bangui;564.6758;332.3701
BEN;;Bolama Bijagos;109.0532;243.5801
GNQ;;Annobon;398.8276;406.5254
BEN;;Conakry;151.4717;266.3716
TCD;;N'Djamena;516.5781;234.6948
TCD;;Porto Novo;13.9131;172.5405
BEN;;Dakar;105.7456;201.0894
BEN;;Bonthe;168.3755;295.8818
TCD;;Sal;41.6221;176.374
BEN;;Boa Vista;37.894;184.2949
TCD;;Maio;37.1143;195.5723
TCD;;Niamey;355.3667;216.9277
BEN;;Bioko Norte;436.5527;340.7559
TCD;;Quinara;129.7114;239.251
BEN;;Atlantique;359.3325;309.8047
COG;;Federal Capital Territory;405.9751;275.4854
TCD;;Mono;359.2295;305.4844
COG;;Greater Accra;324.1133;313.4014
COG;;Grand Cape Mount;160.7695;300.4424
TCD;;Maryland;239.2715;329.4785
NER;;Western;120.0703;220.5293
TCD;;North Bank;135.0986;217.1699
TCD;;Montserrado;176.1582;307.6387
BEN;;Bioko Sur;436.0996;345.0742
NER;;Upper River;155.0986;219.3276
TCD;;Moyen-Comoe;278.2471;303.5645
NGA;;Logone Occidental;517.6738;277.647
NER;;Tombali;136.3999;244.769
TCD;;Plateau;367.834;294.6836
BEN;;Centre;318.4307;235.1689
BEN;;Bonthe;171.4893;291.3237
COG;;Kambia;166.2637;265.8857
COG;;Kientem;466.8926;360.1992
BEN;;Bomi;194.3193;303.084
COG;;Grand Kru;220.7925;329.4824
BEN;;Couffo;352.1724;300.6836
NER;;Welenzas;462.1738;364.7559
NGA;;Akwa lbom;428.7813;328.2803
BEN;;Cacheu;123.9136;233.4878
COG;;Grand Bassa;198.7573;308.6016
BEN;;Diourbel;126.2637;201.3311
NGA;;Lagos;375.5894;305.4805
TCD;;Plateau Central;310.4751;230.6084
TCD;;Rivercess;200.0972;314.1191
NGA;;Anambra;415.2666;310.042
TCD;;Pujehun;181.3223;295.8857
TCD;;River Gee;229.8799;324.9199
COG;;Kenema;188.8936;287.7266
NER;;Sud-Bandama;252.8823;314.6035
TCD;;Maritime;343.9443;306.6826
COG;;Kasai Oriental;630.8086;468.667
NER;;Ziguinchor;112.4526;226.5308
COG;;Fromager;252.2764;309.5625
TCD;;Moyamba;166.498;286.2861
TCD;;Mayo-Kebbi Ouest;506.0205;270.2061
COG;;Kaolack;131.8618;212.8501
NER;;Sud-Comoe;286.8281;320.1211
TCD;;Port Loko;160.7119;277.8853
TCD;;Moyen-Cavally;224.1445;307.166
COG;;Haut-Sassandra;237.125;299.4863
COG;;Guidimakha;170.2026;193.6563
BEN;;Ebonyi;434.9443;309.0859
BEN;;Bafata;143.9404;238.7754
TCD;;Sedhiou;131.167;225.0947
TCD;;Marahoue;253.1514;294.9297
NER;;Tonkolili;177.6973;279.8091
COG;;Grand Gedeh;217.7666;313.1621
BEN;;Centro Sur;465.3652;373.6367
NER;;Upper East;315.5435;249.8096
COG;;Koinadugu;182.063;268.5317
CIV;;18 Montagnes;225.1494;294.4492
TCD;;Sangha-Mbaere;524.7119;344.6025
COG;;Kinshasa;529.1426;444.9121
NGA;;Abia;427.8535;319.165
TCD;;Moyen-Ogooue;455.8965;393.0762
COG;;Gbarpolu;197.9854;294.4492
COG;;Kono;192.042;278.1313
BEN;;Bombali;167.5117;270.21
BEN;;Centre-Sud;303.8101;243.333
TCD;;Savanes;332.7944;254.3716
TCD;;Ogooue-Maritime;436.541;408.4316
BEN;;Central;316.3188;317.9629
NER;;Thies;116.2383;200.6133
COG;;Fatick;121.0918;212.3701
CIV;;Agneby;278.3193;311.4814
NGA;;Litoral;454.2988;369.0762
BEN;;Dakhlet-Nouadhibou;114.707;128.1406
BEN;;Bayelsa;403.2646;328.042
BEN;;Enugu;423.2607;305.7266
TCD;;Mayo-Kebbi Est;522.0469;259.1709
NGA;;Logone Oriental;529.3848;284.3662
COG;;Kaffrine;136.1968;208.2925
NGA;;Lagunes;271.2354;319.1611
NER;;Vallee du Bandama;266.7856;283.6445
BEN;;Bouenza;499.4707;443.2305
BEN;;Centre-Est;324.1357;241.4092
BEN;;Basse-Kotto;595.2168;326.3604
COG;;Imo;421.0566;317.7207
NER;;Zou;360.7153;296.123
BEN;;Bafing;232.1152;281.9634
BEN;;Bong;208.3638;300.2012
BEN;;Centre-Ouest;294.6719;239.0093
BEN;;Centre-Nord;311.2314;220.2915
TCD;;Rivers;417.3823;327.5625
TCD;;Osun;387.9985;292.5254
NER;;Upper West;297.0605;256.7676
TCD;;Nana-Gribizi;569.5762;298.043
BEN;;Centrale;341.418;279.563
NER;;Sud-Ouest;285.0234;252.2061
TCD;;Nord-Ouest;457.7734;307.6426
TCD;;Nimba;218.3389;301.8828
BEN;;Collines;356;285.3228
BEN;;Boucle du Mouhoun;272.8022;229.4063
TCD;;Nana-Mambere;516.749;316.5195
NER;;Worodougou;243.8823;282.2007
BEN;;Bas-Sassandra;238.8379;320.5977
BEN;;Cuvette-Ouest;507.3926;387.5479
BEN;;Donga;351.6538;270.2021
TCD;;N'zi-Comoe;274.3911;298.7578
COG;;Gabu;150.3179;234.2056
COG;;Kedougou;170.7368;225.5664
BEN;;Denguele;232.4717;266.3701
TCD;;Mandoul;550.5625;278.1313
NGA;;Lékoumou;499.0488;427.6328
BEN;;Bo;183.8677;287.4883
TCD;;Plateaux;345.2842;294.9292
TCD;;Ombella M'Poko;549.4229;323.0039
NGA;;Lacs;265.6685;300.9268
TCD;;Mambere-Kadei;523.3906;330.4414
BEN;;Cross River;431.7539;314.3613
COG;;Kouilou;480.7305;442.0283
COG;;Hauts-Bassins;269.5845;244.2891
BEN;;Brong Ahafo;303.5527;286.7739
BEN;;Chari-Baguirmi;529.7686;245.4985
NER;;Western;297.6475;315.5713
COG;;Kemo;572.5898;314.8496
COG;;Extreme-Nord;507.3457;252.2173
COG;;Haut-Ogooue;498.1699;405.3223
COG;;Gombe;470.7617;256.5371
BEN;;Estuaire;457.2969;384.4414
NER;;Sud-Ouest;443.8867;323.9668
TCD;;Ogooue-Lolo;482.5156;399.3203
TCD;;Ouham Pende;525.3906;303.0879
NER;;Sinoe;219.4639;321.8105
TCD;;Oio;137.6362;234.2212
BEN;;Ekiti;398.561;290.6128
COG;;Faranah;190.3452;255.5771
COG;;Kasai Central;606.877;467.4766
NER;;Volta;336.25;296.6143
COG;;Haut-Mbomou;649.1924;308.3711
NGA;;Adamawa;482.2012;270.2173
BEN;;Barh-El-Gazal;537.2324;205.9043
TCD;;Nzerekore;213.1172;281.2559
COG;;Kara;343.1841;266.854
COG;;Kolda;148.1953;224.1382
TCD;;Mamou;172.3799;251.2539
COG;;Hadjer-Lamis;526.8379;229.418
TCD;;Ouest;464.7422;318.6885
NER;;Tandjile;539.4248;267.5762
NGA;;Lofa;206.0029;285.814
COG;;Gorgol;167.2617;185.7427
BEN;;Cascades;267.1924;255.335
TCD;;Saint Louis;137.3677;183.1045
BEN;;Bamingui-Bangoran;578.6377;278.6152
TCD;;Ogooue-Ivindo;491.3438;377.9648
TCD;;Nyanga;469.9648;426.9189
NER;;Tambacounda;153.1748;212.3813
TCD;;Ondo;397.2554;298.5342
BEN;;Atacora;348.3022;252.9395
TCD;;Nasarawa;430.7441;281.0146
NGA;;Lobaye;553.3125;336.6885
BEN;;Eastern;322.8652;308.6094
TCD;;Nord;302.2817;216.2134
COG;;Jigawa;450.4482;231.8135
COG;;Hodh El Gharbi;198.5308;174.9375
COG;;Katsina;425.3027;228.4541
GHA;;Ashanti;308.4399;302.1289
BEN;;Delta;404.4312;319.4063
TCD;;Moyen-Chari;563.502;269.0122
TCD;;Ogun;371.5806;299.249
NGA;;Littoral;458.584;335.9668
NER;;Woleu-Ntem;479.6279;369.084
NER;;Sud-Ubangi;570.3477;353.7207
TCD;;Matam;155.6357;196.2974
TCD;;Nord-Ubangi;596.7217;339.3223
TCD;;Louga;133.1289;192.9375
COG;;Kindia;165.2842;258.9326
NER;;Zamfara;403.4409;236.375
